username,content,likecount,date,amend_weight_sum,length
SupremeWow,小米su7强势破圈太火爆了，雷总得抓紧提高产能啊,3025,2024/3/30 12:22,2.0,24
及米侠,感觉这次黑稿不太多，看来车圈还是更干净一些！,1725,2024/3/30 12:23,1.0,22
小麦Elite,小米手机1代回忆～,1020,2024/3/30 12:22,,9
米12U,雷总辛苦了 感谢您为大家做了一辆Dream car,660,2024/3/30 12:22,1.0,25
Spider_boy666,雷总加电,650,2024/3/30 12:23,,4
柴柴chaial啊,我今天看了一早上雷总的发布会，尤其在汽车发布会最后那个鞠躬，让人泪目,469,2024/3/30 12:25,1.0,34
不喝薄荷奶绿_,相信总有一天 在全球的每一条道路上都能看到小米汽车驰骋的身影,392,2024/3/30 12:23,,30
钟雨飞,年轻人特别喜欢SU7，定位太成功了！！！,297,2024/3/30 12:24,2.0,20
上官祁傲,为了有梦想的年轻人造的车,233,2024/3/30 12:24,1.0,12
乌贼刘先生,雷总，祝小米汽车大卖！,170,2024/3/30 12:22,1.0,11
su7pro,体验拉满了,129,2024/3/30 12:22,,5
羽翼冰封5555,驾驶爱好者首选,100,2024/3/30 12:23,,7
mars_to_,雷总，车模能不能再上一点，根本买不到哇,200,2024/3/30 12:22,1.0,19
生如舜华,交付时间是个问题！,137,2024/3/30 12:22,,9
感恩上帝Alice,雷总网友让你生产相机�，把价格干下来，我觉得你可以,182,2024/3/30 15:04,-1.0,25
弈剑狗斯特,出公路车吗雷总,114,2024/3/30 13:07,,7
大妖妖,因为认准小米汽车一定能成为中国新能源汽车的龙头，所以买股又买了车。,57,2024/3/30 12:38,1.0,33
碳水敏感体质,十年前求父母买红米note1 十年后求父母买su7,62,2024/3/30 13:57,1.0,25
往事如风啊哈哈,你们家游戏剑网三 要凉了 赛事组关系户操作比赛,186,2024/4/9 14:13,-1.0,23
小农民工ai,望雷总尽快推出10-15w的走量车型，毕竟多数米粉都是打工阶层。,51,2024/3/30 13:16,,32
那个谁非诚勿扰,谁懂呀，在最无能为力的年纪遇到最想买的车,52,2024/3/30 12:33,-1.0,20
恶魔老死机,雷总，什么时候出款相机！我真的喜欢小米的摄影！,73,2024/3/30 14:17,2.0,23
盆满高升的潘问天,这个真的假的，看到有博主在发了,16,2024/3/30 12:23,,15
嘻嘻哈哈一年过去,雷神，啥时候出红米车车,37,2024/3/30 12:22,1.0,11
感恩上帝Alice,雷总你看，我朋友圈潮人超级喜欢小米汽车，说美哭了,33,2024/3/30 12:30,4.0,24
HMC_超哥_,什么时候出SUV，外观像卡宴一样的帅气，现在都是拖家带口的轿车的空间不够用，买两辆车经济条件跟不上,39,2024/3/30 12:28,1.0,49
发发-201409,你家关系户已经把游戏嚯嚯的上热搜了 管管吧,66,2024/4/9 16:19,,21
邻里七,上suv雷总,24,2024/3/30 12:24,,6
咩生艰难,但是pro没有hud呀,12,2024/3/30 12:28,,11
MI昧AI,小米汽车真的出圈了，女性用户很多，而且大学里课堂上都在热议小米汽车，老师都拿小米汽车举例子！,27,2024/3/30 13:00,,46
番邦驸马James,有一幫人打着米粉的旗號，在各大車企直播間搗亂，看來是想要替你樹敵，快發個聲名處理一下吧。,27,2024/3/30 12:42,2.0,44
雷总的小尾巴,米粉看到小米长大真的很开心,21,2024/3/30 12:25,1.0,13
星星的学习历程,兜里没钱,20,2024/3/30 13:34,,4
环环,Model3车主来换车了，雷总能不能来个互关,22,2024/3/30 14:14,,22
不是郑小康,上午又看了一遍雷总的发布会后采访，再看这条微博，发现他真的在频繁 cue SU7 的防晒。为啥我会留意到这个，前两天有个朋友跟我说他老婆说了，雷总讲防晒真的很打动女生…有没有女生来评论区说说，这个点对你们重要吗？,10,2024/3/30 17:59,2.0,106
再向前看WE,老百姓需要什么，小米就造什么。yyds,12,2024/3/30 12:24,1.0,19
别烦TTW,雷总，能不能生产一下相机�把相机价格打下来，现在溢价太严重了,18,2024/3/30 14:29,-2.0,30
丷Jerry,雷总北京新指标买车有补贴么？小米现在购车流程销售们都不清楚啊,6,2024/3/30 13:33,2.0,30
那个谁非诚勿扰,在最无能为力的年纪遇到最想买的车,6,2024/3/30 12:33,-1.0,16
马邦德丶汤,手机界最会做汽车的，做汽车的最会唱歌，唱歌的最会写代码的,8,2024/3/30 12:24,3.0,28
_一乘一,我在的地方没有交付中心哇，等有了交付中心，冰箱座椅音响和智驾估计也不送了,4,2024/3/30 13:08,2.0,36
徐尜宝,雷总，我觉得小米汽车可以把手机的影像优势放在汽车上，比如：在车头挡风玻璃后视镜位置，植入徕卡变焦和长焦摄像头，路上看到好看的风景时，不需要再掏出手机抓拍，只需要对着车机喊一声，小爱同学，打开摄像头，即可抓拍高清的转瞬即逝的风景。我觉得这才是标新立异，区别于其他电动车，有自己的亮点,14,2024/3/30 21:19,5.0,140
杰克涛,如果你试驾SU7后，再结合雷总的这段话，你会发现小米SU7的人群定位是相当清晰。“悦己”是这台车核心，在传播上也很好的做到了〔扬长避短〕,6,2024/3/30 13:25,4.0,68
小猪爱上牛,雷总，求个创始版订购码,5,2024/3/30 12:36,,11
倾心若兮,月薪三千的普通工人有希望订购吗,1,2024/3/30 12:35,,15
红绿哈,雷总 model3老车主想换su7 但是原车贬值太多了，可以上点置换补贴吗,3,2024/3/30 12:31,-1.0,37
圆规Compass,从16年就开始用小米手机一直到现在，换的手机都是小米旗舰，家里的家电能用米家的也都是，当了这么多年mi fans，没想到会等到出车的这天！雷总厉害！小米加油！越来越好！,4,2024/3/30 12:27,1.0,84
wasabi2024,雷神 珠海老家什么时候有门店啊,4,2024/3/30 12:23,,15
Ditto_N,什么时候发布suv？我modely想换了,6,2024/3/30 12:22,,20
今日头条vip用户,雷总，在不抓紧造车，就得去唱歌了,4,2024/5/17 12:59,1.0,16
许大唇和林小唇,雷总，pro版能不能考虑可以选装CDC空悬呀，虽然我很早就锁单了，但是还是希望能增选这个呀,4,2024/3/31 13:42,-2.0,45
lifelong_growth,雷总，我是特斯拉Model S，带FSD，终身免费超充，换台小米SU7如何？,3,2024/3/30 23:32,1.0,38
人言者水每立青,今天去苏州龙湖天街城市展厅看了实车…感觉我DNA都动了…回想14年刚上大学的时候买了人生第一部手机叫红米…本来是真想卖了C260换SU7MAX，找回青春实现大男孩的梦想…奈何…二手车报价太低…差的有点多…我还得再奋斗两年,4,2024/3/30 19:52,1.0,110
豫R果,中午好,3,2024/3/30 12:21,,3
黄史强,未来的15到20年做到世界前五很快就能实现,3,2024/3/30 14:34,1.0,21
城南花开000,雷总，趁这波流量，推广一下米家产品吧。很多人只知道小米手机，不知道小米的空调，洗衣机等也特别好用,5,2024/3/30 14:27,,48
海人征途,军哥，28号我见证了历史，载入汽车工业史的一天,2,2024/3/30 14:16,,23
谁把我的号改了,雷总是我最佩服的中国企业家，没有之一,2,2024/3/30 13:55,1.0,18
鸡蛋先森1991,雷总，真心佩服，赌上一生声誉的事业定会成功！,3,2024/3/30 13:47,4.0,22
Kevin_xp,雷总，车的事先放一放，出道了。,10,2024/5/17 13:11,,15
戸36592,雷神，能不能进军一下相机�,7,2024/3/30 16:00,,13
仙女山的月亮是jx的,雷总，锁单20天了，时间还是33到36天,1,2024/6/1 13:41,-1.0,20
揭阳大雨,雷总，最近很忙啊！,1,2024/5/28 20:27,,9
揭阳大雨,雷总，晚上好啊！,1,2024/5/28 20:27,,8
Crouse_Yan,为何不能取消“长按锁屏进去设置”，影响正常使用不知道么？报告雷总，技术部门有间谍，恶意设计！,1,2024/5/23 11:04,2.0,46
洪流中的伪文艺青年,雷总，歌手KTV去不？,5,2024/5/17 21:15,,11
Kevin_xp,第一名了，可以强势出道了。,5,2024/5/17 13:09,1.0,13
水雾同学_DrEV,他们不想被割韭菜，他们追求更好的生活。,1,2024/4/29 18:07,,19
黎美何,小米SU7为中国人民的幸福梦而造,3,2024/4/22 19:17,1.0,16
数据要素先行者-,早,2,2024/4/21 9:46,,1
偏爷驾到,雷军啊，你造个别人也可以的车厉害是厉害，但是抄作业这种事情，还是配不上你的能力资源。能不能搞点破圈的东西，实在不行你出个城市越野吧，把把那个九号平衡车装进去不难吧,1,2024/4/19 13:52,1.0,81
郑先生在MZ,雷总，车子暂时没钱买不起，小孩准备上小学了，您让米家生态出个指纹解锁的水壶吧，市面上的产品良莠不齐信不过,2,2024/4/12 12:37,-1.0,52
你好好康噢,雷总，以后会不会考虑出个500续航，15万的版本啊，认真的，我只想买个外观，21万多还是有点小贵,2,2024/4/10 23:40,2.0,48
回望风逝,转发给了朋友圈的一些老男人们，看的热泪盈眶。男人对家人好是必须的，同时也别忘了对自己好一点。,2,2024/3/31 17:12,1.0,46
Tech数码,为梦想奋斗！,3,2024/3/30 22:43,1.0,6
科比smile,没有为米粉而造的吗,1,2024/3/30 19:10,,9
zcs67544,雷军，小米汽车更换电池包是多少钱呢,0,2024/3/30 14:27,,17
叨哥胡侃,也是很多人的第一辆车,1,2024/3/30 14:01,,10
30岁左右的少年,下一辆一定支持，这一代都这么出色了，下一款必然更棒,2,2024/3/30 13:48,5.0,25
兲念经不听不听,雷总我下单了SU7标准版，下单时老婆想要樱花轮毂没给他买，现在好后悔想加个轮毂给他个惊喜，能给个增配的机会吗？,3,2024/3/30 13:42,,55
杨杨杨呀丶,欢迎去合肥建厂,3,2024/3/30 13:31,1.0,7
qwe369123,销量太好产能不够，建议把北汽蓝谷的麦格纳工厂产能用起来,2,2024/3/30 13:30,,27
揭阳大雨,泰裤辣！,1,2024/3/30 13:13,-1.0,4
揭阳大雨,涨姿势了！,1,2024/3/30 13:10,,5
暮间雾,雷总，年轻人除了漂移还想玩越野,5,2024/3/30 12:59,-1.0,15
因为我是孤独的风中一条狗,还搁那bb呢 快去打螺丝 爷已经锁单了!,2,2024/3/30 12:47,1.0,20
妹妹de怪晓宁bro,雷总考虑出个model3以旧换新SU7优惠，我第一个报名，这是转化老韭菜最直接的方式,0,2024/3/30 12:47,,42
繁华依旧522,为年轻人的第一辆Dreamcar准备的,1,2024/3/30 12:30,,19
研机大侠,太棒了,1,2024/3/30 12:26,1.0,3
Recall甜甜的回忆,雷总 中午好,2,2024/3/30 12:23,,6
红烧哈士骐,雷总，特斯拉都开放5年免息了，小米啥时候开放啊，我想买小米SU7,1,2024/4/12 15:11,,32
努力减肥中的韦大胖丫,今天在课堂上给学生举例子，希望他们能够像雷总敢于突破。我的学生们说努力中考，将来送老师一台小木su7！第一次感受到原来教育不仅在于课本，更应该带认识更大的世界�！虽然乡村老师是没能力买到了，但我的学生们将来一定可以,2,2024/4/9 16:33,1.0,107
无亮帮帮主,雷总你倒是提提产能啊，开售一天一年没车这谁买的上啊,1,2024/3/30 16:43,,25
不吃香菜的大邪子,帮帮西山居,6,2024/6/1 21:08,,5
珠海san,一天到晚吹牛逼，从没见马斯克说SU7。吹牛逼压榨供应商世界第一。,1,2024/5/28 22:01,,32
世界很大我你同在就好,雷总威武,6,2024/5/17 16:39,1.0,4
唯二而已啦,你快去参加歌手吧，摇人榜第一呢,3,2024/5/17 17:21,1.0,15
杨润墨,雷总  suv有没有提上日程   很喜欢su7 但无奈对空间有需求,1,2024/4/27 11:15,3.0,33
22款问界m5老韭皇,我是2022款华为赛力斯问界车主，下一辆买小米，请求雷总出台一个真实可靠的置换方案，我们愿意用问界置换小米汽车,2,2024/4/15 9:08,3.0,55
杨洋羊桔梗,雷总，求求了，能不能最后一次创业，把房子的价格打下来,3,2024/4/12 7:34,,26
八十多个熊猫人,我29岁5系未婚车主，不是目标群体吧,1,2024/3/30 21:44,-1.0,18
我是狗东西__王化必须道歉版,不不不，你是给那 1000 个媒体造的，29 号还能「抢到」。真牛，等着舆论反噬吧,1,2024/3/30 17:28,,41
Love抚仙湖,雷总48小时大定多少，我想看,1,2024/3/30 17:06,,14
吴鹏利,但是我只想要SUV,1,2024/3/30 16:49,,9
赫然,雷总 小米suv 我更期待,3,2024/3/30 12:24,1.0,13
yimlui,请问雷总，为什么用小米手机自带的搜狗输入法小米版，可以打出以色列��的国旗，但是打不出来巴勒斯坦的国旗？！！,1,2024/6/4 16:39,,54
烟花94096,小米12SPro年初更新澎湃系统后每天自动重启，动不动就卡死关机，反馈了至少4个月，40多次，每次都说再等等，至今未解决，有人联系也是说一样的话，再等等之类的,1,2024/6/3 20:23,2.0,79
小葛很爱国,雷总，小米京东和淘宝两个官方店铺有差价，这个归谁管，艾特一下，您要舍弃淘宝的用户吗,1,2024/6/3 16:42,1.0,41
林大木SONG_,加油加油！,1,2024/6/1 5:22,,5
#NAME?,雷总，小米路由器部门是准备放弃了吗？作为米家生态链最核心的中枢，没想到表现会如此离谱。,1,2024/5/30 4:56,2.0,43
杨同学的围脖_,雷总，小米手表能不能往高端方面做一做，想选一款好一点的小米手表都选不出来，别的厂家的手表发展的都不错，咱们做好手环的同时能不能也抓一抓手表这个路,1,2024/5/29 16:50,4.0,72
ironwel,雷总，小米摩托车能造吗？,1,2024/5/28 8:17,,12
fzg冯智高,雷总,2,2024/5/27 17:58,,2
银翼天使_2010,小米手机用户！,1,2024/5/25 11:18,,7
张扬哈哈哈,小米心率广播是摆设，啥软件都连不上，码表也连不上,1,2024/5/22 0:50,,24
彗星的星咏者,雷总，su7车模说好十点开售 但是开售之前就售罄了，能不能开下预售啊，黄牛加价都是好几百,1,2024/5/21 10:14,,44
UPFATE,金戈铁马驰不散心中梦想， 琴瑟和鸣奏不响平凡乐章， 星辰大海航不尽创新征途。 笔走龙蛇绘不穷未来蓝图， 风花雪月赏不厌科技之美， 山高水长行不止探索之路。 龙腾虎跃跃不过科技巅峰， 琴棋书画书不尽智能生活， 时代捷报报不完小米大定！,1,2024/5/19 19:18,7.0,116
高楼改改,雷总，出mpv吧，粉丝都有孩子了，需要mpv,1,2024/5/18 8:29,1.0,22
老默-我要吃鱼了,雷总，是你报名要参加歌手2024吗,3,2024/5/18 1:29,,17
吃鱼不吃鱼o,雷总 好消息 他们投票让您去歌手，,3,2024/5/17 17:49,,17
90后绽放青春,图片评论,1,2024/5/17 15:04,,4
这些年12345,参加歌手吧雷总,1,2024/5/17 11:54,,7
宿_温酒,雷总，管管carwith吧，搞了好几个月还是一堆毛病,5,2024/5/16 19:00,,26
火阳能热水器不用电不用气用余热,我要改变电车的命运,5,2024/5/16 8:45,,9
本人确实有点帅,雷总小米旗舰都变成年抛了吗？,1,2024/5/12 13:25,,14
孙嘉尔Baikal,雷总啥时候出SUV，买买买！,3,2024/5/10 16:33,,14
郁繁一生,雷总，说实话从小米1代断断续续的用你家的设备到现在，但是现在我用了小米平板5Pro的澎湃系统，很卡不好用，准备降级，结果遇到这种乱象，1是解锁必须5级账号，2是等待168小时的意义是？3淘宝等渠道秒解锁的手段是什么？4秒解收费450-500你造吗？,1,2024/5/8 10:56,1.0,124
hkr可人,小米手机充电爆炸，小米公司推卸责任拒绝进行赔偿,1,2024/5/7 22:05,,23
喵呜-001,雷总，16日太原国际车展你能来吗？？,1,2024/5/7 11:34,,18
小淘21,雷总说的真的很好,4,2024/5/7 9:43,,8
伏牛生,发bug反馈了，售后连看一下都懒得，永远都是三板斧，重启一下，断网一下，恢复一下。然后推给第三方，小米的售后代表了国产的大多售后，与新国货的口号与冲锋不相称，我们允许问题的发生，但我们的售后的态度与专业能力才是我们体验的根本。,1,2024/5/6 21:41,3.0,113
鞠囡琦,小米su7爆，求回复,2,2024/5/3 23:04,,10
火阳能热水器不用电不用气用余热,新超导电机方案，颠覆电车原理，希望能交流,4,2024/5/3 8:59,1.0,20
黑猫的房东,雷总，小米手机变味了，13pro不支持AISP到底是硬件不支持还是人手不够？卡脖子式不给下放一点也不高端。去看看张国全的微博评论吧,1,2024/5/1 4:19,5.0,65
Prjder,手机可以无线充电，汽车又有何不可,1,2024/4/29 21:08,,16
辉在征途666,给所有电车提个建议，靠四个车门位置都配备上4个破窗器，这样的话，危机时刻，可以第一时间破窗逃生。,6,2024/4/28 11:12,-2.0,48
张萌君,雷总，小米之后的SUV建议直接叫SU5好了，5的罗马数字就是V，刚好就是SUV,1,2024/4/25 21:18,1.0,39
炯炯-Malcolm,雷总，什么时候安排两门版su7,1,2024/4/24 17:07,,15
方亮同学,说说你们的客服,2,2024/4/24 2:02,,7
JACK一世界,作为小米的铁粉 等半年订单的 能不能考虑有个补偿 比如 送个充电桩或者补偿锁单订金？ 半年实在太久了,1,2024/4/23 16:51,,50
稳行高处山顶大笑,雷总，说好比model3便宜三万！现在model3已经23万了，雷总，su7可以给我们米粉显示点诚意了吧,1,2024/4/21 12:03,1.0,52
190双开门纯情女高,雷总辛苦了,5,2024/4/21 0:16,1.0,5
老正紧cml,（举例L系列的电吸门后续OTA以后，用户可以自主选择是否打开电吸门功能）。小米公司也推出汽车了，但是这个洗碗机的问题，请尽快解决。,1,2024/4/20 10:15,,65
老正紧cml,难道你们厂家一直看不到用户的呼声吗？ 顺便说一下我还是两台理想汽车的用户，我们用户有什么用车方面的问题和建议想向理想公司反馈，只要在APP写上，理想公司还会有电话回访核对我提出的问题，然后在后续OTA升级中快速解决,1,2024/4/20 10:14,5.0,107
老正紧cml,我家另外一个房子使用美的品牌洗碗机用了6年了，我有相当长的洗碗机使用经验的。每个人的家庭条件环境不一样的，我家厨房还有六个抽屉可以专门用来储存碗筷，我不需要自动快速的排蒸汽，那样冒出来的大量水蒸气会搞坏橱柜的，那些锡纸隔蒸汽不合适我家的橱柜设计，锡纸是个掩耳盗铃的做法。,1,2024/4/20 10:13,7.0,135
老正紧cml,跟小米的400售后以及米家APP的售后，电话以及写一堆的文字反馈，都没有一点点效果，都是在推诿扯皮 所以在雷总微博下来留言评论一下，麻烦小米厂家的工程师在看到我的这个问题反馈以后，将这个小米洗碗机16套P1固件升级成小米洗碗机15套S1可以自主关闭这个自动开门的功能。把自主选择权还给客户来选择,1,2024/4/20 10:13,,147
武功高强_呵呵呵,野，我的梦中情车！小米雷、雷、雷、雷雷、雷、雷、雷、雷、雷电速7,1,2024/4/19 18:06,,32
爱美丽生活馆张婷婷,雷总，,1,2024/4/19 7:25,,3
阿海Oba丶,雷总你好呀，我是一名汽车爱好者，同样也是科技产品爱好者，每次都会更关注小米的新产品发布，一直很喜欢小米的各种东西，公司的理念，很想加入小米，然后我们贵州这边小米汽车应该是第二波，一直都没有看到招聘信息。,1,2024/4/19 0:30,5.0,101
______Ann丶,雷总赶紧出7座小米SUV车型吧，我们农村道路开轿车体验不好！,1,2024/4/18 23:44,-1.0,30
他抱着白玫瑰,雷总让你家赘婿姚喆去小米汽车行不行,1,2024/4/18 13:14,,17
雷总我有一个梦想,雷总，什么时候打哈苏,1,2024/4/16 22:06,,10
爱中华爱南平,现货小米汽年不用等.,1,2024/4/16 18:22,,10
